Company,TypeName,Ram,Weight,Price,Ips_Panel,Touchscreen,Cpu_Brand,Hdd,Ssd,Gpu_Brand,Operating_System,Ppi
HP,Notebook,4,1.44,12201.12,0,0,Other Intel Processor,0,32,Intel,Windows,111.93520355955211
Lenovo,Notebook,4,1.9,29250.72,0,0,Intel Core i5,1024,0,Intel,Windows,141.21199808219862
Asus,Gaming,12,3.0,50562.72,0,0,Intel Core i7,1024,0,Nvidia,Other OS / No OS,127.33567457123111
Microsoft,Ultrabook,4,1.252,58021.92,0,1,Intel Core i5,0,128,Intel,Windows,200.84255993695703
Dell,Ultrabook,8,1.4,50882.4,1,0,Intel Core i7,0,256,AMD,Windows,165.6321180513006
Dell,Notebook,8,2.2,46353.6,0,0,Intel Core i7,0,256,AMD,Windows,141.21199808219862
MSI,Gaming,8,2.7,58341.6,0,0,Intel Core i5,1024,128,Nvidia,Windows,127.33567457123111
Acer,Notebook,8,2.1,20725.92,0,0,Intel Core i3,1024,0,Intel,Windows,111.93520355955211
Asus,Gaming,8,2.2,50562.72,0,0,Intel Core i7,1024,0,Nvidia,Windows,141.21199808219862
Lenovo,Notebook,8,2.2,27652.32,0,0,Intel Core i5,2048,0,Intel,Other OS / No OS,141.21199808219862
Dell,Notebook,8,2.02,45554.4,0,0,Intel Core i7,1024,128,Intel,Windows,141.21199808219862
Acer,Notebook,4,2.2,28238.4,0,0,Intel Core i3,1024,0,Nvidia,Windows,141.21199808219862
HP,Notebook,8,2.5,52054.56,0,0,Intel Core i5,1024,128,Nvidia,Windows,127.33567457123111
Dell,Ultrabook,8,1.88,58403.4048,1,0,Intel Core i5,0,256,Intel,Windows,141.21199808219862
Apple,Ultrabook,8,0.92,80452.8,1,0,Intel Core i5,0,512,Intel,Mac,226.41554716935852
HP,Notebook,8,1.63,45820.8,0,0,Intel Core i5,0,256,Intel,Windows,157.3505121487356
Lenovo,Notebook,4,2.2,21258.72,0,0,AMD,0,128,AMD,Windows,141.21199808219862
Acer,Notebook,4,2.1,21045.6,0,0,AMD,1024,0,AMD,Windows,100.45466986113651
Dell,Gaming,16,2.65,71874.72,1,0,Intel Core i7,1024,128,Nvidia,Windows,141.21199808219862
HP,Ultrabook,8,1.83,37242.72,1,0,Intel Core i7,0,256,Nvidia,Windows,141.21199808219862
HP,Notebook,8,1.96,31914.1872,0,0,Intel Core i5,0,256,Intel,Windows,141.21199808219862
Asus,Gaming,16,2.2,77202.72,1,0,Intel Core i7,1024,128,Nvidia,Windows,141.21199808219862
Dell,Ultrabook,8,1.21,87858.72,1,0,Intel Core i7,0,256,Intel,Windows,165.6321180513006
Asus,Gaming,8,2.45,37242.72,0,0,AMD,1024,0,AMD,Windows,141.21199808219862
Acer,Notebook,8,2.2,36709.92,0,0,Intel Core i7,1024,0,Nvidia,Windows,141.21199808219862
HP,Notebook,16,1.49,63776.16,0,0,Intel Core i7,0,512,Intel,Windows,165.6321180513006
Dell,Gaming,8,2.65,63669.6,0,0,Intel Core i5,0,256,Nvidia,Windows,141.21199808219862
Asus,Ultrabook,8,1.25,55890.72,0,0,Intel Core i7,0,256,Intel,Windows,157.3505121487356
Acer,2 in 1 Convertible,8,1.5,45128.16,1,1,Intel Core i5,0,256,Intel,Windows,165.6321180513006
Dell,Notebook,8,2.2,31962.672,0,0,Intel Core i7,1024,0,AMD,Other OS / No OS,141.21199808219862
Dell,Notebook,4,2.2,25840.8,0,0,Intel Core i3,0,256,AMD,Other OS / No OS,141.21199808219862
Asus,Notebook,6,2.0,30742.56,0,0,Intel Core i3,0,256,Nvidia,Windows,141.21199808219862
HP,Gaming,12,2.62,66546.72,1,0,Intel Core i7,1024,128,Nvidia,Windows,141.21199808219862
HP,Notebook,8,1.91,38308.32,0,0,Intel Core i7,0,256,AMD,Windows,141.21199808219862
HP,Notebook,4,2.1,18594.72,0,0,AMD,500,0,AMD,Windows,141.21199808219862
Dell,Notebook,8,2.2,34472.16,0,0,Intel Core i5,1024,0,AMD,Other OS / No OS,141.21199808219862
HP,Ultrabook,8,1.38,59620.32,1,0,Intel Core i7,0,256,Nvidia,Windows,165.6321180513006
Microsoft,Ultrabook,8,1.252,71395.2,0,1,Intel Core i5,0,256,Intel,Windows,200.84255993695703
HP,Notebook,6,1.58,35111.52,1,0,Intel Core i5,0,256,Nvidia,Windows,157.3505121487356
Lenovo,Notebook,4,1.85,22105.872,0,0,Intel Core i3,1024,0,Intel,Windows,141.21199808219862
Asus,Ultrabook,8,1.3,63563.04,1,0,Intel Core i7,0,256,Nvidia,Windows,157.3505121487356
MSI,Gaming,16,2.2,69210.72,0,0,Intel Core i7,1024,256,Nvidia,Windows,141.21199808219862
Lenovo,Notebook,8,1.58,78854.4,1,0,Intel Core i7,0,256,Intel,Windows,157.3505121487356
Asus,Ultrabook,16,1.5,67239.36,0,0,Intel Core i7,1024,256,Nvidia,Windows,141.21199808219862
Dell,Ultrabook,8,1.23,73473.12,0,1,Intel Core i7,0,256,Intel,Windows,276.053530085501
Lenovo,2 in 1 Convertible,8,1.37,74538.72,1,1,Intel Core i5,0,256,Intel,Windows,165.6321180513006
HP,Notebook,4,1.63,38468.16,1,0,Intel Core i5,500,0,Intel,Windows,111.93520355955211
Dell,Ultrabook,8,1.21,86793.12,1,0,Intel Core i5,0,256,Intel,Windows,165.6321180513006
HP,2 in 1 Convertible,8,1.26,74538.1872,1,1,Intel Core i5,0,256,Intel,Windows,165.6321180513006
HP,Notebook,8,1.63,57755.52,0,0,Intel Core i7,0,512,Intel,Windows,157.3505121487356
Dell,Notebook,8,2.16,60223.98239999999,1,0,Intel Core i7,1024,256,Nvidia,Windows,141.21199808219862
Asus,Notebook,4,2.0,30049.92,0,0,Intel Core i3,1024,0,Nvidia,Windows,127.33567457123111
Asus,Notebook,8,1.7,59567.04,0,0,Intel Core i7,0,256,Nvidia,Windows,141.21199808219862
Acer,Notebook,6,2.1,25521.12,1,1,Intel Core i3,1024,0,Intel,Windows,141.21199808219862
MSI,Gaming,16,1.8,119427.12,0,0,Intel Core i7,2048,256,Nvidia,Windows,141.21199808219862
Lenovo,Notebook,8,2.2,33513.119999999995,0,0,Intel Core i5,0,256,Nvidia,Other OS / No OS,141.21199808219862
HP,Notebook,16,2.5,67718.88,0,0,Intel Core i7,0,512,Nvidia,Windows,127.33567457123111
Acer,Notebook,4,2.1,24029.28,0,0,AMD,0,256,AMD,Windows,100.45466986113651
HP,Notebook,4,1.86,13799.52,0,0,Other Intel Processor,500,0,Intel,Other OS / No OS,100.45466986113651
HP,Notebook,8,1.63,43263.36,0,0,Intel Core i5,1024,0,Intel,Windows,157.3505121487356
Asus,Notebook,4,1.65,14811.3072,0,0,AMD,0,64,AMD,Windows,111.93520355955211
Dell,Notebook,16,2.8,74378.87999999999,0,0,Intel Core i7,2048,256,AMD,Windows,127.33567457123111
HP,Notebook,8,2.5,49443.84,0,0,Intel Core i5,0,256,Intel,Windows,127.33567457123111
Dell,Notebook,8,2.36,34045.3872,0,0,Intel Core i5,1024,0,AMD,Windows,100.45466986113651
Dell,Notebook,4,2.2,23922.72,0,0,Intel Core i3,1024,0,AMD,Windows,141.21199808219862
Acer,Ultrabook,8,1.6,47099.52,1,0,Intel Core i7,0,256,Intel,Windows,157.3505121487356
Acer,Notebook,4,2.2,30476.16,0,0,Intel Core i3,0,256,Nvidia,Windows,141.21199808219862
HP,Notebook,8,2.05,31861.44,0,0,Intel Core i7,1024,0,Intel,Windows,100.45466986113651
HP,Notebook,8,1.63,52640.64,0,0,Intel Core i7,0,256,Intel,Windows,157.3505121487356
Lenovo,Notebook,4,1.9,13445.7408,0,0,Other Intel Processor,1024,0,Intel,Other OS / No OS,100.45466986113651
Asus,Gaming,8,3.0,49976.64,0,0,Intel Core i5,1024,128,Nvidia,Windows,127.33567457123111
Lenovo,Notebook,4,2.2,26586.72,0,0,Intel Core i5,1024,0,Nvidia,Other OS / No OS,141.21199808219862
HP,Notebook,4,1.32,37242.72,1,0,Intel Core i5,0,256,Intel,Windows,165.6321180513006
Acer,Notebook,4,3.0,34898.4,1,0,Intel Core i3,1024,0,Nvidia,Windows,127.33567457123111
Lenovo,Notebook,8,1.75,59461.5456,1,0,Intel Core i5,0,256,AMD,Windows,157.3505121487356
Lenovo,Gaming,8,2.4,46300.32,1,0,Intel Core i7,0,256,Nvidia,Other OS / No OS,141.21199808219862
Toshiba,Notebook,4,2.1,32074.56,0,0,Intel Core i5,500,0,Intel,Windows,100.45466986113651
HP,Notebook,4,1.86,19660.32,0,0,AMD,0,256,AMD,Windows,100.45466986113651
Asus,Ultrabook,8,1.25,58554.72,0,0,Intel Core i7,0,256,Intel,Windows,157.3505121487356
HP,Ultrabook,8,0.97,107305.92,1,1,Other Intel Processor,0,512,Intel,Windows,352.4651472131677
Asus,Notebook,4,2.0,18328.32,0,0,Other Intel Processor,1024,0,Intel,Windows,141.21199808219862
MSI,Gaming,16,2.9,108105.12,0,0,Intel Core i7,1024,256,Nvidia,Windows,127.33567457123111
Acer,Notebook,4,2.1,23816.16,0,0,Intel Core i3,1024,0,Intel,Windows,100.45466986113651
Dell,Gaming,16,2.56,66560.5728,0,0,Intel Core i7,0,512,Nvidia,Windows,141.21199808219862
Dell,Gaming,8,2.62,47898.72,0,0,Intel Core i7,0,0,Nvidia,Windows,141.21199808219862
Lenovo,Notebook,4,1.9,26533.44,0,0,Intel Core i5,0,128,Intel,Windows,100.45466986113651
MSI,Gaming,16,2.8,100699.2,0,0,Intel Core i7,1024,256,Nvidia,Windows,127.33567457123111
HP,Ultrabook,4,1.48,57648.96,0,0,Intel Core i5,0,256,Intel,Windows,157.3505121487356
HP,Notebook,6,1.91,32980.32,0,0,Intel Core i5,0,256,AMD,Windows,141.21199808219862
Lenovo,2 in 1 Convertible,4,1.74,33513.119999999995,1,1,Intel Core i3,0,256,Intel,Windows,157.3505121487356
Asus,2 in 1 Convertible,8,1.1,70063.2,0,1,Intel Core i5,0,256,Intel,Windows,165.6321180513006
Dell,2 in 1 Convertible,8,1.56,55890.72,0,1,Intel Core i7,0,256,Intel,Windows,141.21199808219862
Toshiba,Notebook,4,2.1,23816.16,0,0,Intel Core i3,500,0,Intel,Windows,100.45466986113651
Asus,Notebook,4,2.03,21471.84,0,0,AMD,1024,0,AMD,Windows,100.45466986113651
Acer,Notebook,4,3.0,42890.4,1,0,Intel Core i5,0,256,Nvidia,Windows,127.33567457123111
Dell,Notebook,8,2.13,38787.84,0,0,Intel Core i5,0,256,AMD,Windows,141.21199808219862
Lenovo,Gaming,16,2.5,57489.12,1,0,Intel Core i7,0,256,Nvidia,Windows,141.21199808219862
Acer,Notebook,4,2.1,18541.44,0,0,Other Intel Processor,1024,0,Intel,Windows,100.45466986113651
MSI,Gaming,16,2.4,95850.72,1,0,Intel Core i7,1024,256,Nvidia,Windows,141.21199808219862
Acer,Notebook,4,2.1,19367.8128,0,0,Other Intel Processor,1024,0,Intel,Windows,100.45466986113651
Dell,Gaming,8,2.56,56502.9072,0,0,Intel Core i7,1024,128,Nvidia,Windows,141.21199808219862
Acer,Notebook,8,3.0,45501.12,1,0,Intel Core i5,0,256,Nvidia,Windows,127.33567457123111
HP,Notebook,4,1.49,40173.12,1,0,Intel Core i5,500,0,Intel,Windows,165.6321180513006
Huawei,Ultrabook,8,1.05,71874.72,1,0,Intel Core i5,0,256,Intel,Windows,199.69207064108247
HP,Notebook,6,2.71,37242.72,1,0,Intel Core i5,2048,0,AMD,Windows,127.33567457123111
Lenovo,Notebook,4,2.2,16463.52,0,0,AMD,500,0,AMD,Other OS / No OS,100.45466986113651
Toshiba,Notebook,4,2.0,26053.92,0,0,Intel Core i3,500,0,Intel,Windows,100.45466986113651
HP,Notebook,8,2.5,49177.44,0,0,Intel Core i5,0,256,Nvidia,Windows,127.33567457123111
Dell,Notebook,8,2.3,24455.52,0,0,Intel Core i3,1024,0,Intel,Windows,100.45466986113651
Acer,Notebook,4,2.1,23922.72,0,0,Intel Core i3,0,128,Intel,Windows,100.45466986113651
MSI,Gaming,32,4.4,149130.72,0,0,Intel Core i7,1024,512,Nvidia,Windows,119.7232157653423
Lenovo,Notebook,8,1.9,43316.64,0,0,Intel Core i5,1024,128,AMD,Windows,141.21199808219862
HP,2 in 1 Convertible,8,1.29,79866.72,1,1,Intel Core i5,0,256,Intel,Windows,331.2642361026012
Dell,Notebook,16,2.02,55890.72,0,0,Intel Core i7,2048,256,AMD,Other OS / No OS,141.21199808219862
Dell,Ultrabook,8,1.23,74538.72,0,0,Intel Core i5,0,256,Intel,Windows,165.6321180513006
Lenovo,2 in 1 Convertible,16,1.4,98514.72,1,1,Intel Core i7,0,512,Intel,Windows,316.96506044349616
Toshiba,Notebook,8,2.0,42251.04,0,0,Intel Core i5,0,128,Intel,Windows,100.45466986113651
Xiaomi,Notebook,8,1.95,63882.72,1,0,Intel Core i5,0,256,Nvidia,Other OS / No OS,141.21199808219862
Dell,Notebook,16,2.77,82530.72,0,1,Intel Core i7,0,512,Nvidia,Windows,127.33567457123111
Dell,Notebook,16,2.06,127712.16,0,1,Intel Core i7,0,512,Nvidia,Windows,282.42399616439724
Lenovo,Gaming,8,2.4,41505.12,1,0,Intel Core i5,0,256,Nvidia,Other OS / No OS,141.21199808219862
Acer,Ultrabook,8,1.12,52693.92,1,0,Intel Core i5,0,256,Intel,Windows,165.6321180513006
Dell,Notebook,8,2.8,57808.8,0,0,Intel Core i7,1024,128,AMD,Windows,127.33567457123111
Lenovo,2 in 1 Convertible,16,1.42,150462.72,0,1,Intel Core i7,0,1024,Intel,Windows,209.8006828649808
Vero,Notebook,4,1.3,13852.8,1,0,Other Intel Processor,0,0,Intel,Windows,157.3505121487356
Xiaomi,Ultrabook,8,1.3,53274.67199999999,1,0,Intel Core i5,0,256,Nvidia,Other OS / No OS,165.6321180513006
Lenovo,Notebook,8,2.8,37189.44,0,0,Intel Core i5,0,256,Nvidia,Other OS / No OS,106.11306214269258
Dell,2 in 1 Convertible,8,1.62,44701.92,1,1,Intel Core i7,1024,0,Intel,Windows,165.6321180513006
HP,Notebook,8,2.5,48697.92,1,0,Intel Core i5,1024,0,Nvidia,Windows,127.33567457123111
Razer,Gaming,32,3.49,324954.72,0,1,Intel Core i7,0,1024,Nvidia,Windows,254.67134914246222
HP,Notebook,8,1.49,51095.52,0,0,Intel Core i5,0,512,Intel,Windows,165.6321180513006
HP,Gaming,16,3.35,73473.12,1,0,Intel Core i7,1024,256,Nvidia,Windows,127.33567457123111
HP,Notebook,8,2.5,55677.6,0,0,Intel Core i7,0,256,Nvidia,Windows,127.33567457123111
Dell,Gaming,16,2.65,98301.6,1,0,Intel Core i7,1024,512,Nvidia,Windows,282.42399616439724
Lenovo,Notebook,4,2.1,26267.04,0,0,Intel Core i5,0,128,Intel,Windows,100.45466986113651
Acer,Notebook,8,2.23,39533.76,0,0,Intel Core i7,1024,0,Nvidia,Windows,141.21199808219862
Lenovo,Gaming,16,3.2,93186.72,1,0,Intel Core i7,1024,512,Nvidia,Windows,141.21199808219862
Dell,Workstation,16,2.8,162770.4,0,0,Other Intel Processor,1024,256,Nvidia,Windows,282.42399616439724
Lenovo,Gaming,16,2.4,74485.44,0,0,Intel Core i7,0,512,Nvidia,Other OS / No OS,141.21199808219862
Dell,Notebook,6,2.3,23389.92,0,1,Intel Core i3,1024,0,Intel,Windows,100.45466986113651
Dell,Ultrabook,8,1.21,103842.72,1,1,Intel Core i7,0,256,Intel,Windows,331.2642361026012
Dell,Ultrabook,8,1.2,77202.72,0,0,Intel Core i7,0,256,Intel,Windows,165.6321180513006
Lenovo,Notebook,8,2.2,31808.16,0,0,Intel Core i5,0,256,Intel,Windows,100.45466986113651
Acer,Notebook,8,2.4,41505.12,0,0,Intel Core i7,1024,0,Nvidia,Other OS / No OS,141.21199808219862
Asus,Gaming,16,2.9,74964.95999999999,0,0,Intel Core i7,1024,256,Nvidia,Windows,127.33567457123111
HP,Notebook,4,2.1,18594.72,0,0,Intel Core i3,500,0,Intel,Other OS / No OS,141.21199808219862
Lenovo,Notebook,8,2.2,29250.72,0,0,Intel Core i5,0,256,Intel,Other OS / No OS,141.21199808219862
Huawei,Ultrabook,8,1.05,79866.72,1,0,Intel Core i7,0,512,Intel,Windows,199.69207064108247
Dell,Ultrabook,8,1.4,49650.5664,1,0,Intel Core i7,0,256,AMD,Windows,165.6321180513006
Lenovo,Notebook,8,2.8,31381.92,0,0,Intel Core i5,1024,0,Nvidia,Other OS / No OS,106.11306214269258
HP,Notebook,8,1.63,54931.68,0,0,Intel Core i7,0,256,Nvidia,Windows,157.3505121487356
Dell,Ultrabook,8,1.6,61218.72,0,0,Intel Core i5,0,256,Intel,Windows,157.3505121487356
Dell,2 in 1 Convertible,16,1.62,68145.12,0,1,Intel Core i7,0,512,Intel,Windows,165.6321180513006
Dell,Notebook,8,2.2,36089.208,0,0,Intel Core i5,0,256,AMD,Other OS / No OS,141.21199808219862
Lenovo,2 in 1 Convertible,8,1.74,47898.72,1,0,Intel Core i5,0,256,Intel,Windows,157.3505121487356
Toshiba,Ultrabook,8,1.2,72620.64,0,0,Intel Core i7,0,256,Intel,Windows,165.6321180513006
HP,Notebook,8,2.1,42304.32,0,0,Intel Core i5,1024,0,Intel,Windows,141.21199808219862
Dell,Gaming,16,4.42,130873.7952,1,0,Intel Core i7,1024,256,Nvidia,Windows,127.33567457123111
Acer,Notebook,8,2.2,44328.96,0,0,Intel Core i7,0,256,Nvidia,Windows,141.21199808219862
Dell,Notebook,16,2.3,45768.0528,0,1,Intel Core i7,1024,0,AMD,Windows,141.21199808219862
Asus,Notebook,8,2.0,40972.32,0,0,Intel Core i5,0,256,Nvidia,Windows,141.21199808219862
Asus,Notebook,8,2.69,47472.48,0,0,Intel Core i5,500,256,Nvidia,Windows,127.33567457123111
HP,Notebook,8,1.9,67612.31999999999,0,0,Intel Core i7,1024,0,AMD,Windows,141.21199808219862
Asus,Notebook,4,2.37,21258.1872,0,0,Intel Core i3,1024,0,Intel,Windows,100.45466986113651
HP,Notebook,4,2.1,17582.399999999998,0,0,AMD,500,0,AMD,Windows,100.45466986113651
Lenovo,Gaming,16,3.2,79866.72,1,0,Intel Core i7,1024,256,Nvidia,Windows,141.21199808219862
Dell,Notebook,8,1.6,45767.52,0,0,Intel Core i5,0,256,Intel,Windows,157.3505121487356
Acer,2 in 1 Convertible,8,1.6,36709.92,1,1,Intel Core i5,0,256,Intel,Windows,165.6321180513006
Dell,Notebook,16,2.36,47898.72,0,0,Intel Core i7,0,256,AMD,Other OS / No OS,141.21199808219862
Acer,Notebook,4,2.1,20779.2,0,0,Intel Core i3,1024,0,Intel,Other OS / No OS,100.45466986113651
Asus,Notebook,4,2.2,30636.0,0,0,AMD,1024,128,AMD,Windows,141.21199808219862
Asus,Gaming,32,4.7,207259.2,0,0,Intel Core i7,1024,512,Nvidia,Windows,127.33567457123111
Acer,Gaming,8,2.5,45074.88,1,0,Intel Core i5,0,256,Nvidia,Windows,141.21199808219862
Lenovo,Notebook,8,2.2,31381.92,0,0,Intel Core i3,0,128,Intel,Windows,100.45466986113651
Asus,Notebook,8,2.1,61005.6,0,0,Intel Core i7,1024,128,Nvidia,Windows,127.33567457123111
Asus,Notebook,8,2.69,47365.92,0,0,Intel Core i7,1024,128,Nvidia,Other OS / No OS,127.33567457123111
Dell,Gaming,8,2.56,46833.12,0,0,Intel Core i5,0,256,Nvidia,Windows,141.21199808219862
Lenovo,2 in 1 Convertible,8,1.38,57489.12,1,1,Intel Core i7,0,256,Intel,Windows,158.48253022174808
Dell,Notebook,8,2.2,52480.8,0,0,Intel Core i7,2048,128,AMD,Windows,141.21199808219862
HP,Notebook,8,2.04,29783.52,0,1,Intel Core i5,1024,0,Intel,Windows,100.45466986113651
Asus,Gaming,16,3.6,159786.72,0,0,Intel Core i7,0,256,Nvidia,Windows,127.33567457123111
HP,Notebook,4,1.49,35964.0,1,0,Intel Core i5,500,0,Intel,Windows,165.6321180513006
Apple,Ultrabook,8,1.37,108691.2,1,0,Intel Core i5,0,512,Intel,Mac,226.98300468106115
Dell,2 in 1 Convertible,8,2.08,43636.32,1,1,Intel Core i7,1024,0,Intel,Windows,141.21199808219862
Asus,Gaming,16,4.3,95850.72,0,0,Intel Core i7,1024,256,Nvidia,Windows,127.33567457123111
Asus,Notebook,4,1.68,24988.32,0,0,AMD,1024,0,AMD,Windows,100.45466986113651
